,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,ca,confirmed_7dav_incidence_num,2020-02-20,2021-09-17,575,0,0,0,0.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-26,2021-09-17,569,0,0,0,0.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-28,2021-09-17,567,0,0,0,0.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-02-29,2021-09-17,566,0,0,0,0.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-01,2021-09-17,565,0,0,0,1.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-02,2021-09-17,564,0,0,0,1.7142857,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-03,2021-09-17,563,0,0,0,2.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-04,2021-09-17,562,0,0,0,3.8571429,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-05,2021-09-17,561,0,0,0,5.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-06,2021-09-17,560,0,0,0,7.8571429,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-07,2021-09-17,559,0,0,0,11.5714286,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-08,2021-09-17,558,0,0,0,13.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-09,2021-09-27,567,0,0,0,16.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-10,2021-09-27,566,0,0,0,18.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-11,2021-09-27,565,0,0,0,20.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-12,2021-09-27,564,0,0,0,25.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-13,2021-09-27,563,0,0,0,30.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-14,2021-09-27,562,0,0,0,34.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-15,2021-09-27,561,0,0,0,37.2857143,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-16,2021-09-17,550,0,0,0,56.7142857,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-17,2021-09-17,549,0,0,0,65.5714286,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-18,2021-09-17,548,0,0,0,87.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-19,2021-09-17,547,0,0,0,108.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-20,2021-09-17,546,0,0,0,137.8571429,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-21,2021-09-17,545,0,0,0,151.5714286,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-22,2021-09-17,544,0,0,0,189.0,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-23,2021-09-17,543,0,0,0,220.0,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-24,2021-09-17,542,0,0,0,269.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-25,2021-09-17,541,0,0,0,317.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-26,2021-09-27,550,0,0,0,413.7142857,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-27,2021-09-17,539,0,0,0,472.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-28,2021-09-27,548,0,0,0,874.0,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-29,2021-09-27,547,0,0,0,542.5714286,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-30,2021-09-27,546,0,0,0,684.4285714,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-03-31,2021-09-27,545,0,0,0,787.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-04-01,2022-05-18,777,0,5,5,893.1428571,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-04-02,2022-05-18,776,0,5,5,983.5714286,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-04-03,2022-05-18,775,0,5,5,1077.0,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-04-04,2022-05-18,774,0,5,5,760.0,,,state,jhu-csse
0,ca,confirmed_7dav_incidence_num,2020-04-05,2022-05-18,773,0,5,5,1284.8571429,,,state,jhu-csse
