,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,ks,confirmed_7dav_incidence_num,2020-02-20,2021-04-01,406,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-26,2021-04-01,400,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-28,2021-04-01,398,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-02-29,2021-04-01,397,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-01,2021-04-01,396,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-02,2021-04-01,395,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-03,2021-04-01,394,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-04,2021-04-01,393,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-05,2021-04-01,392,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-06,2021-04-01,391,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-07,2021-04-01,390,0,0,0,0.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-08,2021-04-01,389,0,0,0,0.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-09,2021-04-01,388,0,0,0,0.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-10,2021-04-01,387,0,0,0,0.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-11,2021-04-01,386,0,0,0,0.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-12,2021-04-01,385,0,0,0,0.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-13,2021-04-01,384,0,0,0,0.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-14,2021-04-01,383,0,0,0,1.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-15,2021-04-01,382,0,0,0,1.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-16,2021-04-01,381,0,0,0,1.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-17,2021-04-01,380,0,0,0,2.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-18,2021-04-01,379,0,0,0,3.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-19,2021-04-01,378,0,0,0,4.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-20,2021-04-01,377,0,0,0,6.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-21,2021-04-01,376,0,0,0,7.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-22,2021-04-01,375,0,0,0,8.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-23,2021-04-01,374,0,0,0,10.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-24,2021-04-01,373,0,0,0,11.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-25,2021-04-01,372,0,0,0,16.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-26,2021-04-01,371,0,0,0,19.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-27,2021-04-01,370,0,0,0,22.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-28,2021-04-01,369,0,0,0,29.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-29,2021-04-01,368,0,0,0,37.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-30,2021-04-01,367,0,0,0,41.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-03-31,2021-04-01,366,0,0,0,47.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-01,2021-04-01,365,0,0,0,50.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-02,2021-04-01,364,0,0,0,54.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-03,2021-04-01,363,0,0,0,60.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-04,2021-04-01,362,0,0,0,61.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-05,2021-04-01,361,0,0,0,60.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-06,2021-04-01,360,0,0,0,68.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-07,2021-04-01,359,0,0,0,68.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-08,2021-04-01,358,0,0,0,80.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-09,2021-04-01,357,0,0,0,80.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-10,2021-04-01,356,0,0,0,69.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-11,2021-04-01,355,0,0,0,82.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-12,2021-04-01,354,0,0,0,84.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-13,2021-04-01,353,0,0,0,77.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-14,2021-04-01,352,0,0,0,75.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-15,2021-04-01,351,0,0,0,65.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-16,2021-04-01,350,0,0,0,71.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-17,2021-04-01,349,0,0,0,87.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-18,2021-04-01,348,0,0,0,78.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-19,2021-04-01,347,0,0,0,80.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-20,2021-04-01,346,0,0,0,94.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-21,2021-04-01,345,0,0,0,103.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-22,2021-04-01,344,0,0,0,118.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-23,2021-04-01,343,0,0,0,158.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-24,2021-04-01,342,0,0,0,175.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-25,2021-04-01,341,0,0,0,187.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-26,2021-04-01,340,0,0,0,196.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-27,2021-04-01,339,0,0,0,203.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-28,2021-04-01,338,0,0,0,212.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-29,2021-04-01,337,0,0,0,215.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-04-30,2021-04-01,336,0,0,0,241.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-01,2021-04-01,335,0,0,0,239.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-02,2021-04-01,334,0,0,0,250.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-03,2021-04-01,333,0,0,0,268.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-04,2021-04-01,332,0,0,0,272.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-05,2021-04-01,331,0,0,0,285.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-06,2021-04-01,330,0,0,0,307.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-07,2021-04-01,329,0,0,0,274.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-08,2021-04-01,328,0,0,0,290.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-09,2021-04-01,327,0,0,0,277.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-10,2021-04-01,326,0,0,0,256.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-11,2021-04-01,325,0,0,0,253.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-12,2021-04-01,324,0,0,0,227.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-13,2021-04-01,323,0,0,0,217.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-14,2021-04-01,322,0,0,0,196.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-15,2021-04-01,321,0,0,0,174.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-16,2021-04-01,320,0,0,0,158.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-17,2021-04-01,319,0,0,0,143.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-18,2021-04-01,318,0,0,0,163.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-19,2021-04-01,317,0,0,0,159.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-20,2021-04-01,316,0,0,0,141.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-21,2021-04-01,315,0,0,0,131.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-22,2021-04-01,314,0,0,0,146.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-23,2021-04-01,313,0,0,0,143.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-24,2021-04-01,312,0,0,0,150.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-25,2021-04-01,311,0,0,0,117.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-26,2021-04-01,310,0,0,0,120.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-27,2021-04-01,309,0,0,0,112.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-28,2021-04-01,308,0,0,0,106.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-29,2021-04-01,307,0,0,0,107.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-30,2021-04-01,306,0,0,0,106.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-05-31,2021-04-01,305,0,0,0,99.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-01,2021-04-01,304,0,0,0,113.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-02,2021-04-01,303,0,0,0,109.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-03,2021-04-01,302,0,0,0,114.4285714,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-04,2021-04-01,301,0,0,0,113.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-05,2021-04-01,300,0,0,0,92.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-06,2021-04-01,299,0,0,0,95.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-07,2021-04-01,298,0,0,0,100.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-08,2021-04-01,297,0,0,0,89.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-09,2021-04-01,296,0,0,0,92.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-10,2021-04-01,295,0,0,0,94.0,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-11,2021-04-01,294,0,0,0,93.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-12,2021-04-01,293,0,0,0,95.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-13,2021-04-01,292,0,0,0,94.1428571,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-14,2021-04-01,291,0,0,0,99.2857143,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-15,2021-04-01,290,0,0,0,110.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-16,2021-04-01,289,0,0,0,114.5714286,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-17,2021-04-01,288,0,0,0,127.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-18,2021-04-01,287,0,0,0,132.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-19,2020-06-20,1,0,0,0,149.7142857,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-20,2021-04-01,285,0,0,0,153.8571429,,,state,jhu-csse
0,ks,confirmed_7dav_incidence_num,2020-06-21,2021-04-01,284,0,0,0,147.8571429,,,state,jhu-csse
