,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,me,confirmed_7dav_incidence_num,2020-02-20,2021-04-01,406,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-26,2021-04-01,400,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-28,2021-04-01,398,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-02-29,2021-04-01,397,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-01,2021-04-01,396,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-02,2021-04-01,395,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-03,2021-04-01,394,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-04,2021-04-01,393,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-05,2021-04-01,392,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-06,2021-04-01,391,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-07,2021-04-01,390,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-08,2021-04-01,389,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-09,2021-04-01,388,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-10,2021-04-01,387,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-11,2021-04-01,386,0,0,0,0.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-12,2021-04-01,385,0,0,0,0.1428571,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-13,2021-04-01,384,0,0,0,0.4285714,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-14,2021-04-01,383,0,0,0,0.4285714,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-15,2021-04-01,382,0,0,0,0.2857143,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-16,2021-04-01,381,0,0,0,2.4285714,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-17,2021-04-01,380,0,0,0,3.7142857,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-18,2021-04-01,379,0,0,0,5.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-19,2021-04-01,378,0,0,0,7.2857143,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-20,2021-04-01,377,0,0,0,7.5714286,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-21,2021-04-01,376,0,0,0,9.5714286,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-22,2021-04-01,375,0,0,0,12.4285714,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-23,2021-04-01,374,0,0,0,12.8571429,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-24,2021-04-01,373,0,0,0,13.1428571,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-25,2021-04-01,372,0,0,0,15.2857143,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-26,2021-04-01,371,0,0,0,14.7142857,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-27,2021-04-01,370,0,0,0,16.0,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-28,2021-04-01,369,0,0,0,20.1428571,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-29,2021-04-01,368,0,0,0,23.4285714,,,state,jhu-csse
0,me,confirmed_7dav_incidence_num,2020-03-30,2021-04-01,367,0,0,0,24.0,,,state,jhu-csse
