,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,ms,confirmed_7dav_incidence_num,2020-02-20,2021-04-01,406,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-26,2021-04-01,400,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-28,2021-04-01,398,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-02-29,2021-04-01,397,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-01,2021-04-01,396,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-02,2021-04-01,395,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-03,2021-04-01,394,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-04,2021-04-01,393,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-05,2021-04-01,392,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-06,2021-04-01,391,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-07,2021-04-01,390,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-08,2021-04-01,389,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-09,2021-04-01,388,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-10,2021-04-01,387,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-11,2021-04-01,386,0,0,0,0.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-12,2021-04-01,385,0,0,0,0.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-13,2021-04-01,384,0,0,0,0.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-14,2021-04-01,383,0,0,0,0.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-15,2021-04-01,382,0,0,0,0.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-16,2021-04-01,381,0,0,0,1.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-17,2021-04-01,380,0,0,0,3.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-18,2021-04-01,379,0,0,0,4.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-19,2021-04-01,378,0,0,0,7.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-20,2021-04-01,377,0,0,0,10.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-21,2021-04-01,376,0,0,0,19.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-22,2021-04-01,375,0,0,0,28.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-23,2021-04-01,374,0,0,0,33.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-24,2021-04-01,373,0,0,0,42.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-25,2021-04-01,372,0,0,0,49.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-26,2021-04-01,371,0,0,0,62.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-27,2021-04-01,370,0,0,0,71.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-28,2021-04-01,369,0,0,0,74.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-29,2021-04-01,368,0,0,0,78.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-30,2021-04-01,367,0,0,0,85.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-03-31,2021-04-01,366,0,0,0,88.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-01,2021-04-01,365,0,0,0,99.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-02,2021-04-01,364,0,0,0,98.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-03,2021-04-01,363,0,0,0,111.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-04,2021-04-01,362,0,0,0,113.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-05,2021-04-01,361,0,0,0,125.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-06,2021-04-01,360,0,0,0,127.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-07,2021-04-01,359,0,0,0,139.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-08,2021-04-01,358,0,0,0,132.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-09,2021-04-01,357,0,0,0,154.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-10,2021-04-01,356,0,0,0,158.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-11,2021-04-01,355,0,0,0,169.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-12,2021-04-01,354,0,0,0,163.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-13,2021-04-01,353,0,0,0,172.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-14,2021-04-01,352,0,0,0,167.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-15,2021-04-01,351,0,0,0,193.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-16,2021-04-01,350,0,0,0,194.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-17,2021-04-01,349,0,0,0,189.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-18,2021-04-01,348,0,0,0,190.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-19,2021-04-01,347,0,0,0,213.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-20,2021-04-01,346,0,0,0,224.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-21,2021-04-01,345,0,0,0,232.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-22,2021-04-01,344,0,0,0,219.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-23,2021-04-01,343,0,0,0,218.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-24,2021-04-01,342,0,0,0,234.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-25,2021-04-01,341,0,0,0,249.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-26,2021-04-01,340,0,0,0,233.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-27,2021-04-01,339,0,0,0,226.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-28,2021-04-01,338,0,0,0,232.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-29,2021-04-01,337,0,0,0,239.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-04-30,2021-04-01,336,0,0,0,237.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-01,2021-04-01,335,0,0,0,254.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-02,2021-04-01,334,0,0,0,246.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-03,2021-04-01,333,0,0,0,234.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-04,2021-04-01,332,0,0,0,254.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-05,2021-04-01,331,0,0,0,266.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-06,2021-04-01,330,0,0,0,265.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-07,2021-04-01,329,0,0,0,267.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-08,2021-04-01,328,0,0,0,268.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-09,2021-04-01,327,0,0,0,276.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-10,2021-04-01,326,0,0,0,278.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-11,2021-04-01,325,0,0,0,256.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-12,2021-04-01,324,0,0,0,243.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-13,2021-04-01,323,0,0,0,238.0,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-14,2021-04-01,322,0,0,0,256.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-15,2021-04-01,321,0,0,0,244.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-16,2021-04-01,320,0,0,0,249.2857143,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-17,2021-04-01,319,0,0,0,256.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-18,2021-04-01,318,0,0,0,251.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-19,2021-04-01,317,0,0,0,256.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-20,2021-04-01,316,0,0,0,268.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-21,2021-04-01,315,0,0,0,248.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-22,2021-04-01,314,0,0,0,260.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-23,2021-04-01,313,0,0,0,268.8571429,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-24,2021-04-01,312,0,0,0,280.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-25,2021-04-01,311,0,0,0,289.4285714,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-26,2021-04-01,310,0,0,0,289.5714286,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-27,2021-04-01,309,0,0,0,296.7142857,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-28,2021-04-01,308,0,0,0,307.1428571,,,state,jhu-csse
0,ms,confirmed_7dav_incidence_num,2020-05-29,2021-04-01,307,0,0,0,309.7142857,,,state,jhu-csse
