,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,tn,confirmed_7dav_incidence_num,2020-02-20,2021-04-01,406,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-26,2021-04-01,400,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-28,2021-04-01,398,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-02-29,2021-04-01,397,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-01,2021-04-01,396,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-02,2021-04-01,395,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-03,2021-04-01,394,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-04,2021-04-01,393,0,0,0,0.0,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-05,2021-04-01,392,0,0,0,0.1428571,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-06,2021-04-01,391,0,0,0,0.1428571,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-07,2021-04-01,390,0,0,0,0.1428571,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-08,2021-04-01,389,0,0,0,0.4285714,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-09,2021-04-01,388,0,0,0,0.4285714,,,state,jhu-csse
0,tn,confirmed_7dav_incidence_num,2020-03-10,2021-04-01,387,0,0,0,0.4285714,,,state,jhu-csse
