,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,tx,confirmed_7dav_incidence_num,2020-02-20,2021-04-01,406,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-26,2021-04-01,400,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-28,2021-04-01,398,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-02-29,2021-04-01,397,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-01,2021-04-01,396,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-02,2021-04-01,395,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-03,2021-04-01,394,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-04,2021-04-01,393,0,0,0,0.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-05,2021-04-01,392,0,0,0,0.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-06,2021-04-01,391,0,0,0,0.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-07,2021-04-01,390,0,0,0,1.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-08,2021-04-01,389,0,0,0,1.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-09,2021-04-01,388,0,0,0,1.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-10,2021-04-01,387,0,0,0,2.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-11,2021-04-01,386,0,0,0,3.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-12,2021-04-01,385,0,0,0,3.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-13,2021-04-01,384,0,0,0,5.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-14,2021-04-01,383,0,0,0,7.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-15,2021-04-01,382,0,0,0,7.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-16,2021-04-01,381,0,0,0,10.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-17,2021-04-01,380,0,0,0,13.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-18,2021-04-01,379,0,0,0,25.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-19,2021-04-01,378,0,0,0,39.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-20,2021-04-01,377,0,0,0,55.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-21,2021-04-01,376,0,0,0,74.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-22,2021-04-01,375,0,0,0,82.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-23,2021-04-01,374,0,0,0,97.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-24,2021-04-01,373,0,0,0,122.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-25,2021-04-01,372,0,0,0,150.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-26,2021-04-01,371,0,0,0,179.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-27,2021-04-01,370,0,0,0,215.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-28,2021-04-01,369,0,0,0,267.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-29,2021-04-01,368,0,0,0,307.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-30,2021-04-01,367,0,0,0,344.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-03-31,2021-04-01,366,0,0,0,405.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-01,2022-01-22,661,0,5,5,325.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-02,2022-01-22,660,0,5,5,356.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-03,2022-01-22,659,0,5,5,373.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-04,2022-01-22,658,0,5,5,378.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-05,2022-01-22,657,0,5,5,371.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-06,2022-01-22,656,0,5,5,421.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-07,2022-01-22,655,0,5,5,418.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-08,2022-01-22,654,0,5,5,571.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-09,2022-01-22,653,0,5,5,579.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-10,2022-01-22,652,0,5,5,643.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-11,2022-01-22,651,0,5,5,637.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-12,2022-01-22,650,0,5,5,627.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-13,2022-01-22,649,0,5,5,617.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-14,2022-01-22,648,0,5,5,632.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-15,2022-01-22,647,0,5,5,617.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-16,2022-01-22,646,0,5,5,627.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-17,2022-01-22,645,0,5,5,574.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-18,2022-01-22,644,0,5,5,553.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-19,2022-01-22,643,0,5,5,562.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-20,2022-01-22,642,0,5,5,597.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-21,2022-01-22,641,0,5,5,594.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-22,2022-01-22,640,0,5,5,605.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-23,2022-01-22,639,0,5,5,630.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-24,2022-01-22,638,0,5,5,657.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-25,2022-01-22,637,0,5,5,688.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-26,2022-01-22,636,0,5,5,700.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-27,2022-01-22,635,0,5,5,769.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-28,2022-01-22,634,0,5,5,768.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-29,2022-01-22,633,0,5,5,863.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-04-30,2022-01-22,632,0,5,5,911.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-01,2022-01-22,631,0,5,5,992.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-02,2022-01-22,630,0,5,5,999.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-03,2022-01-22,629,0,5,5,1004.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-04,2022-01-22,628,0,5,5,938.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-05,2022-01-22,627,0,5,5,961.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-06,2022-01-22,626,0,5,5,944.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-07,2022-01-22,625,0,5,5,900.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-08,2022-01-22,624,0,5,5,904.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-09,2022-01-22,623,0,5,5,1035.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-10,2022-01-22,622,0,5,5,1036.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-11,2022-01-22,621,0,5,5,1033.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-12,2022-01-22,620,0,5,5,1157.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-13,2022-01-22,619,0,5,5,1087.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-14,2022-01-22,618,0,5,5,1062.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-15,2022-01-22,617,0,5,5,1046.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-16,2022-01-22,616,0,5,5,1060.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-17,2022-01-22,615,0,5,5,1083.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-18,2022-01-22,614,0,5,5,1128.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-19,2022-01-22,613,0,5,5,1044.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-20,2022-01-22,612,0,5,5,1084.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-21,2022-01-22,611,0,5,5,1110.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-22,2022-01-22,610,0,5,5,1050.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-23,2022-01-22,609,0,5,5,856.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-24,2022-01-22,608,0,5,5,864.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-25,2022-01-22,607,0,5,5,795.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-26,2022-01-22,606,0,5,5,797.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-27,2022-01-22,605,0,5,5,766.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-28,2022-01-22,604,0,5,5,815.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-29,2022-01-22,603,0,5,5,858.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-30,2022-01-22,602,0,5,5,937.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-05-31,2022-01-22,601,0,5,5,925.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-01,2022-01-22,600,0,5,5,1002.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-02,2022-01-22,599,0,5,5,1091.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-03,2022-01-22,598,0,5,5,1120.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-04,2022-01-22,597,0,5,5,2092.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-05,2022-01-22,596,0,5,5,2383.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-06,2022-01-22,595,0,5,5,2417.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-07,2022-01-22,594,0,5,5,2394.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-08,2022-01-22,593,0,5,5,2413.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-09,2022-01-22,592,0,5,5,2722.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-10,2022-01-22,591,0,5,5,3016.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-11,2022-01-22,590,0,5,5,2108.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-12,2022-01-22,589,0,5,5,2022.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-13,2022-01-22,588,0,5,5,2044.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-14,2022-01-22,587,0,5,5,2170.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-15,2022-01-22,586,0,5,5,2560.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-16,2022-01-22,585,0,5,5,2585.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-17,2022-01-22,584,0,5,5,2706.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-18,2022-01-22,583,0,5,5,2886.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-19,2022-01-22,582,0,5,5,3083.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-20,2022-01-22,581,0,5,5,3454.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-21,2022-01-22,580,0,5,5,3644.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-22,2022-01-22,579,0,5,5,3579.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-23,2022-01-22,578,0,5,5,3896.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-24,2022-01-22,577,0,5,5,4168.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-25,2022-01-22,576,0,5,5,4398.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-26,2022-01-22,575,0,5,5,5122.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-27,2022-01-22,574,0,5,5,5304.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-28,2022-01-22,573,0,5,5,5676.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-29,2022-01-22,572,0,5,5,6351.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-06-30,2022-01-22,571,0,5,5,6501.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-01,2022-01-22,570,0,5,5,6667.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-02,2022-01-22,569,0,5,5,6813.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-03,2022-01-22,568,0,5,5,6487.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-04,2022-01-22,567,0,5,5,6339.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-05,2022-01-22,566,0,5,5,6654.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-06,2022-01-22,565,0,5,5,6557.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-07,2022-01-22,564,0,5,5,6656.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-08,2022-01-22,563,0,5,5,7175.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-09,2022-01-22,562,0,5,5,7835.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-10,2022-01-22,561,0,5,5,8343.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-11,2022-01-22,560,0,5,5,8848.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-12,2022-01-22,559,0,5,5,8700.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-13,2022-01-22,558,0,5,5,9110.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-14,2022-01-22,557,0,5,5,9246.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-15,2022-01-22,556,0,5,5,9111.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-16,2022-01-22,555,0,5,5,8839.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-17,2022-01-22,554,0,5,5,8249.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-18,2022-01-22,553,0,5,5,8641.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-19,2022-01-22,552,0,5,5,8554.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-20,2022-01-22,551,0,5,5,8432.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-21,2022-01-22,550,0,5,5,8553.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-22,2022-01-22,549,0,5,5,8478.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-23,2022-01-22,548,0,5,5,8615.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-24,2022-01-22,547,0,5,5,8968.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-25,2022-01-22,546,0,5,5,8270.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-26,2022-01-22,545,0,5,5,8078.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-27,2022-01-22,544,0,5,5,8199.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-28,2022-01-22,543,0,5,5,8223.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-29,2022-01-22,542,0,5,5,7912.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-30,2022-01-22,541,0,5,5,7846.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-07-31,2022-01-22,540,0,5,5,7841.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-01,2022-01-22,539,0,5,5,7732.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-02,2022-01-22,538,0,5,5,7757.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-03,2022-01-22,537,0,5,5,6942.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-04,2022-01-22,536,0,5,5,8035.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-05,2022-01-22,535,0,5,5,8362.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-06,2022-01-22,534,0,5,5,8502.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-07,2022-01-22,533,0,5,5,8429.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-08,2022-01-22,532,0,5,5,9922.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-09,2022-01-22,531,0,5,5,10984.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-10,2022-01-22,530,0,5,5,12103.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-11,2022-01-22,529,0,5,5,11278.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-12,2022-01-22,528,0,5,5,11244.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-13,2022-01-22,527,0,5,5,10824.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-14,2022-01-22,526,0,5,5,11902.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-15,2022-01-22,525,0,5,5,11051.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-16,2022-01-22,524,0,5,5,9745.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-17,2022-01-22,523,0,5,5,9046.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-18,2022-01-22,522,0,5,5,8634.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-19,2022-01-22,521,0,5,5,8456.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-20,2022-01-22,520,0,5,5,8162.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-21,2022-01-22,519,0,5,5,6736.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-22,2022-01-22,518,0,5,5,5991.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-23,2022-01-22,517,0,5,5,6016.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-24,2022-01-22,516,0,5,5,5383.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-25,2022-01-22,515,0,5,5,5120.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-26,2022-01-22,514,0,5,5,4700.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-27,2022-01-22,513,0,5,5,5179.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-28,2022-01-22,512,0,5,5,5178.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-29,2022-01-22,511,0,5,5,5178.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-30,2022-01-22,510,0,5,5,4949.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-08-31,2022-01-22,509,0,5,5,5122.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-01,2022-01-22,508,0,5,5,4621.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-02,2022-01-22,507,0,5,5,4453.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-03,2022-01-22,506,0,5,5,3929.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-04,2022-01-22,505,0,5,5,3635.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-05,2022-01-22,504,0,5,5,3615.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-06,2022-01-22,503,0,5,5,3641.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-07,2022-01-22,502,0,5,5,3248.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-08,2022-01-22,501,0,5,5,3341.5714286,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-09,2022-01-22,500,0,5,5,3323.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-10,2022-01-22,499,0,5,5,3406.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-11,2022-01-22,498,0,5,5,3318.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-12,2022-01-22,497,0,5,5,3695.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-13,2022-01-22,496,0,5,5,4866.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-14,2022-01-22,495,0,5,5,5222.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-15,2022-01-22,494,0,5,5,5129.2857143,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-16,2022-01-22,493,0,5,5,5192.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-17,2022-01-22,492,0,5,5,5012.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-18,2022-01-22,491,0,5,5,5362.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-19,2022-01-22,490,0,5,5,5111.8571429,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-20,2022-01-22,489,0,5,5,5062.4285714,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-21,2022-01-22,488,0,5,5,4940.0,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-22,2022-01-22,487,0,5,5,4939.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-23,2022-01-22,486,0,5,5,5045.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-24,2022-01-22,485,0,5,5,5339.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-25,2022-01-22,484,0,5,5,4988.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-26,2022-01-22,483,0,5,5,4537.7142857,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-27,2022-01-22,482,0,5,5,3351.1428571,,,state,jhu-csse
0,tx,confirmed_7dav_incidence_num,2020-09-28,2022-01-22,481,0,5,5,4025.5714286,,,state,jhu-csse
