date,location,location_name,value
2020-10-14,02,Alaska,11
2020-10-14,53,Washington,25
2020-10-12,78,Virgin Islands,0
2020-10-11,78,Virgin Islands,0
2020-10-08,44,Rhode Island,13
2020-10-06,50,Vermont,1
2020-10-03,44,Rhode Island,16
2020-10-02,78,Virgin Islands,0
2020-09-29,44,Rhode Island,21
2020-09-28,78,Virgin Islands,0
2020-09-27,50,Vermont,1
2020-09-21,78,Virgin Islands,0
2020-09-21,50,Vermont,1
2020-09-20,78,Virgin Islands,0
2020-09-09,50,Vermont,1
2020-09-08,44,Rhode Island,25
2020-09-07,02,Alaska,14
2020-09-01,78,Virgin Islands,1
2020-08-28,44,Rhode Island,30
2020-08-27,78,Virgin Islands,1
2020-08-26,02,Alaska,19
2020-08-24,78,Virgin Islands,4
2020-08-23,50,Vermont,2
2020-08-22,78,Virgin Islands,5
2020-08-21,78,Virgin Islands,5
2020-08-20,38,North Dakota,9
2020-08-19,78,Virgin Islands,5
2020-08-17,10,Delaware,3
2020-08-16,33,New Hampshire,28
2020-08-14,78,Virgin Islands,6
2020-08-07,46,South Dakota,16
2020-08-01,78,Virgin Islands,6
2020-07-30,78,Virgin Islands,6
2020-07-28,38,North Dakota,16
2020-07-27,31,Nebraska,4
2020-07-23,15,Hawaii,4
2020-07-22,09,Connecticut,3
2020-07-14,34,New Jersey,20
2022-06-03,60,American Samoa,0
2022-06-01,60,American Samoa,0
2022-05-29,60,American Samoa,0
2022-05-28,60,American Samoa,0
2022-05-28,56,Wyoming,4
2022-05-27,60,American Samoa,0
2022-05-26,60,American Samoa,1
2022-05-23,60,American Samoa,5
2022-05-21,60,American Samoa,6
2022-05-21,56,Wyoming,6
2022-05-19,60,American Samoa,6
2022-05-19,56,Wyoming,10
2022-05-16,60,American Samoa,6
2022-05-15,60,American Samoa,6
2022-05-13,60,American Samoa,6
2022-05-12,60,American Samoa,6
2022-05-11,60,American Samoa,6
2022-05-10,60,American Samoa,6
2022-05-08,60,American Samoa,6
2022-05-07,02,Alaska,27
2022-05-05,60,American Samoa,6
2022-05-04,60,American Samoa,6
2022-05-02,60,American Samoa,6
2022-05-01,56,Wyoming,16
2022-04-30,60,American Samoa,6
2022-04-29,60,American Samoa,7
2022-04-27,60,American Samoa,7
2022-04-26,60,American Samoa,7
2022-04-25,60,American Samoa,7
2022-04-25,56,Wyoming,16
2022-04-22,02,Alaska,29
2022-04-22,60,American Samoa,7
2022-04-21,60,American Samoa,7
2022-04-19,60,American Samoa,12
2022-04-19,56,Wyoming,16
2022-04-17,60,American Samoa,13
2022-04-16,60,American Samoa,13
2022-04-16,45,South Carolina,6
2022-04-15,60,American Samoa,14
2022-04-14,60,American Samoa,16
2022-04-13,49,Utah,11
2022-04-12,60,American Samoa,33
2022-04-12,49,Utah,18
2022-04-11,60,American Samoa,33
2022-04-08,60,American Samoa,33
2022-04-07,60,American Samoa,33
2022-04-06,60,American Samoa,33
2022-04-05,60,American Samoa,33
2022-04-04,60,American Samoa,36
2022-04-02,60,American Samoa,38
2022-04-01,60,American Samoa,41
2022-03-30,49,Utah,29
2022-03-29,60,American Samoa,44
2022-03-27,60,American Samoa,46
2022-03-26,60,American Samoa,47
2022-03-24,60,American Samoa,47
2022-03-23,60,American Samoa,47
2022-03-21,60,American Samoa,51
2022-03-20,49,Utah,43
2022-03-19,60,American Samoa,52
2022-03-18,60,American Samoa,53
2022-03-16,60,American Samoa,53
2022-03-15,60,American Samoa,56
2022-03-15,49,Utah,60
2022-03-14,60,American Samoa,56
2022-03-13,60,American Samoa,57
2022-03-11,60,American Samoa,57
2022-03-10,60,American Samoa,58
2022-03-08,60,American Samoa,58
2022-03-07,60,American Samoa,59
2022-03-06,60,American Samoa,59
2022-03-05,60,American Samoa,61
2022-03-03,60,American Samoa,62
2022-03-02,60,American Samoa,63
2022-02-28,60,American Samoa,63
2022-02-27,60,American Samoa,63
2022-02-26,60,American Samoa,63
2022-02-25,60,American Samoa,63
2022-02-23,60,American Samoa,64
2022-02-22,60,American Samoa,64
2022-02-20,60,American Samoa,64
2022-02-19,60,American Samoa,64
2022-02-18,60,American Samoa,64
2022-02-17,60,American Samoa,64
2022-02-15,60,American Samoa,64
2022-02-14,60,American Samoa,64
2022-02-12,60,American Samoa,64
2022-02-11,60,American Samoa,64
2022-02-10,60,American Samoa,64
2022-02-09,60,American Samoa,64
2022-02-07,60,American Samoa,64
